Arousal,Valence
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
26,71
27,71
28,71
30,71
32,71
34,71
36,71
38,71
40,71
42,71
44,71
46,71
48,71
49,71
49,71
49,71
49,71
49,71
49,71
49,71
49,71
49,71
49,71
49,71
49,71
49,71
50,71
51,71
53,71
55,71
57,71
59,71
61,71
63,71
65,71
67,71
69,71
71,71
73,71
75,71
75,71
75,71
75,71
75,71
75,71
75,71
75,71
75,71
75,71
75,71
75,71
75,71
75,71
75,71
77,71
79,71
81,71
83,71
85,71
87,71
89,71
91,71
93,71
95,71
97,71
99,71
100,71
100,71
100,71
100,71
100,71
100,71
100,71
100,71
100,71
100,71
100,71
100,71
100,72
100,74
100,76
100,78
100,78
100,80
100,84
100,84
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,86
100,85
100,84
100,83
100,82
100,81
100,80
100,79
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
100,79
100,80
100,81
100,82
100,83
100,84
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,85
100,84
100,83
100,82
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,81
100,82
100,83
100,84
100,85
100,86
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
100,87
99,87
98,87
96,87
94,87
92,87
90,87
88,87
88,87
88,87
88,87
88,87
88,87
88,87
88,87
88,87
88,87
88,87
88,87
88,87
88,87
88,87
88,87
88,87
88,87
88,87
88,87
88,87
88,87
89,87
90,87
91,87
92,87
93,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,86
94,85
94,84
94,83
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,82
94,83
94,84
94,85
94,86
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
94,87
